CRAMERFLAGS,Cramer rules,cdk:Title,toxTree.tree.cramer.CramerTreeResult,SMILES
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C1=C([H])C([H])=C(C([H])=C1N([H])C2=NC(=C([H])C([H])=N2)C3=C([H])N=C([H])C([H])=C3[H])N([H])C(=O)C4=C([H])C([H])=C(C([H])=C4[H])C([H])([H])N5C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C5([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])(N([H])C(=O)N([H])C1([H])C(=O)N([H])C(=O)N1C([H])([H])O[H])N([H])C(=O)N([H])C2([H])C(=O)N([H])C(=O)N2C([H])([H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])[C@]([H])([C@]1([H])[C@@]2([H])C([H])([H])C(=C(C(=O)O[H])N2C1=O)SC([H])([H])C([H])([H])/N=C(\[H])/N([H])[H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N1C2=C(C([H])=C([H])C([H])=C2[H])C([H])([H])C([H])([H])C3=C1C([H])=C([H])C([H])=C3[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C([H])(C([H])([H])[H])C([H])([H])N1C([H])=NC2=C(N([H])[H])N=C3C([H])=C([H])C([H])=C([H])C3=C21
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C([H])([H])C1=C(C([H])([H])C([H])([H])[H])C([H])=C2C([H])([H])C([H])(C([H])([H])C2=C1[H])N([H])C([H])([H])[C@@]([H])(C3=C([H])C([H])=C(C4=C3C([H])=C([H])C(=O)N4[H])O[H])O[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C1([H])C([H])([H])C2=C(C([H])=C([H])C([H])=C2[H])N1N([H])C(=O)C3=C([H])C([H])=C(C(=C3[H])S(=O)(=O)N([H])[H])Cl
,High (Class III),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23Y,27Y,28Y,29N,33N",C([H])([H])([H])C([H])(C([H])([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])C1(C2=C(C([H])=C([H])C([H])=C2[H])C3=C1C([H])=C([H])C([H])=C3[H])C(=O)N([H])[H]
,Low (Class I),,"1N,2N,3Y,4Y(7Y,8N,10N,11Y,33Y)",C1([H])=C(C([H])=C2C(=C1[H])N([H])\C(=C\3/C(=O)C4=C([H])C(=C([H])C([H])=C4N3[H])S(=O)(=O)O[H])\C2=O)S(=O)(=O)O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C(C([H])([H])[H])(C([H])([H])[H])N([H])C(=O)[C@]1([H])C([H])([H])N(C([H])([H])C([H])([H])N1C([H])([H])[C@]([H])(C([H])([H])[C@@]([H])(C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])C(=O)N([H])[C@@]3([H])C4=C(C([H])=C([H])C([H])=C4[H])C([H])([H])[C@@]3([H])O[H])O[H])C([H])([H])C5=C([H])C([H])=C([H])N=C5[H]
,High (Class III),,"1N,2N,3Y,4N",Cl[111In](Cl)Cl
,High (Class III),,"1N,2N,3Y,4N",C1([H])=C([H])C(=C2C(=C1[H])C([H])=C([H])C([H])=N2)[O-].C1([H])=C([H])C(=C2C(=C1[H])C([H])=C([H])C([H])=N2)[O-].C1([H])=C([H])C(=C2C(=C1[H])C([H])=C([H])C([H])=N2)[O-].[111In+3]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])(C([H])([H])N(C([H])([H])C(=O)O[H])C([H])([H])C(=O)O[H])N(C([H])([H])C([H])([H])N(C([H])([H])C(=O)[O-])C([H])([H])C(=O)[O-])C([H])([H])C(=O)[O-].[111In+3]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C([H])(C([H])(C([H])([H])O[H])N=C(C1([H])C([H])([H])SSC([H])([H])C([H])(C(=NC([H])(C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])C(=NC([H])(C([H])([H])C3=C([H])N([H])C4=C3C([H])=C([H])C([H])=C4[H])C(=NC([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H])C(=NC([H])(C([H])(C([H])([H])[H])O[H])C(=N1)O[H])[O-])O[H])O[H])O[H])N=C(C([H])(C([H])([H])C5=C([H])C([H])=C([H])C([H])=C5[H])N=C(C([H])([H])N(C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])C([H])(C(=O)O[H])C(=O)O[H])C([H])([H])C(=O)[O-])C([H])([H])C(=O)[O-])[O-])O[H])O[H])O[H].[111In+3]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C1(C([H])([H])[H])/C(=C(/[H])\C(\[H])=C(/[H])\C(\[H])=C(/[H])\C(\[H])=C(/[H])\C2=[N+](C([H])([H])C([H])([H])C([H])([H])C([H])([H])S(=O)(=O)[O-])C3=C(C4=C(C([H])=C([H])C([H])=C4[H])C([H])=C3[H])C2(C([H])([H])[H])C([H])([H])[H])/N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])S(=O)(=O)[O-])C5=C1C6=C(C([H])=C([H])C([H])=C6[H])C([H])=C5[H].[Na+]
,High (Class III),,"1N,2N,3Y,4Y(7Y,8N,10N,11Y,33N)",C([H])([H])([H])C1(C([H])([H])[H])/C(=C(\[H])/C(/[H])=C(\[H])/C(/[H])=C(\[H])/C(/[H])=C(\[H])/C2=[N+](C([H])([H])C([H])([H])C([H])([H])C([H])([H])S(=O)(=O)O[H])C3=C(C4=C(C([H])=C([H])C([H])=C4[H])C([H])=C3[H])C2(C([H])([H])[H])C([H])([H])[H])/N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])S(=O)(=O)O[H])C5=C1C6=C(C([H])=C([H])C([H])=C6[H])C([H])=C5[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C1=C(C([H])([H])C(=O)O[H])C2=C(C([H])=C([H])C(=C2[H])OC([H])([H])[H])N1C(=O)C3=C([H])C([H])=C(C([H])=C3[H])Cl
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C1([H])=C([H])C([H])=C(C([H])=C1[H])C(=O)N([H])C2([H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])C3=C([H])N([H])C4=C3C([H])=C([H])C([H])=C4[H])C([H])([H])C2([H])[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C([H])([H])N1C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])C2=C([H])C([H])=C(C([H])=C2[H])N([H])C3=NC([H])=NC(=C3[H])N(C([H])([H])[H])C(=O)N([H])C4=C(C(=C([H])C(=C4Cl)OC([H])([H])[H])OC([H])([H])[H])Cl
,High (Class III),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23N,24N,25N,26N,22N,33N",C([H])([H])([H])/C(/[H])=C(/C([H])([H])[H])\C(=O)O[C@@]1([H])C(=C([H])[C@@]23[C@]([H])(C([H])([H])[H])C([H])([H])[C@]4([H])[C@]([H])([C@@]([H])(C([H])=C(C([H])([H])O[H])[C@]([H])([C@]12O[H])O[H])C3=O)C4(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([C@]1([H])[C@]([H])([C@]([H])([C@]([H])(N2C([H])=NC3=C2N=C([H])N([H])C3=O)O1)O[H])O[H])O[H].C([H])([H])([H])C(=O)N([H])C1=C([H])C([H])=C(C([H])=C1[H])C(=O)O[H].C([H])([H])([H])C(=O)N([H])C1=C([H])C([H])=C(C([H])=C1[H])C(=O)O[H].C([H])([H])([H])C(=O)N([H])C1=C([H])C([H])=C(C([H])=C1[H])C(=O)O[H].C([H])([H])([H])[C@]([H])(C([H])([H])N(C([H])([H])[H])C([H])([H])[H])O[H].C([H])([H])([H])[C@]([H])(C([H])([H])N(C([H])([H])[H])C([H])([H])[H])O[H].C([H])([H])([H])[C@]([H])(C([H])([H])N(C([H])([H])[H])C([H])([H])[H])O[H]
,Low (Class I),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23N,24Y,18N",[C@]1([H])([C@@]([H])([C@]([H])([C@@]([H])([C@]([H])([C@@]1([H])O[H])O[H])O[H])O[H])O[H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C1([H])=C([H])N=C([H])C(=C1[H])C(=O)O[C@@]2([H])[C@@]([H])([C@]([H])([C@@]([H])([C@]([H])([C@@]2([H])OC(=O)C3=C([H])C([H])=C([H])N=C3[H])OC(=O)C4=C([H])C([H])=C([H])N=C4[H])OC(=O)C5=C([H])C([H])=C([H])N=C5[H])OC(=O)C6=C([H])C([H])=C([H])N=C6[H])OC(=O)C7=C([H])C([H])=C([H])N=C7[H]
,High (Class III),,"1N,2N,3Y,4N",C1([H])=C([H])C(=C([H])C(=C1[H])C([H])([H])N=C(N([H])[H])N([H])[H])I
,High (Class III),,"1N,2N,3Y,4N",C1([H])=C([H])C(=C([H])C(=C1[H])C([H])([H])N([H])C(=N[H])N([H])[H])[123I].C1([H])=C([H])C(=C([H])C(=C1[H])C([H])([H])N([H])C(=N[H])N([H])[H])[123I].O([H])S(=O)(=O)O[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])N(C([H])([H])C([H])(C([H])([H])O[H])O[H])C(=O)C1=C(C(=C(C(=C1I)C(=O)N(C([H])([H])[H])C([H])([H])C([H])(C([H])([H])O[H])O[H])I)N([H])C(=O)C([H])(C([H])([H])O[H])C([H])([H])O[H])I
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C([H])(C([H])([H])N(C(=O)C([H])([H])[H])C1=C(C(=C(C([H])=C1I)I)N([H])[H])I)C(=O)O[H]
,High (Class III),,"1N,2N,3Y,4N",[I-]
,High (Class III),,"1N,2N,3Y,4N",[123I-]
,High (Class III),,"1N,2N,3Y,4N",[131I-]
,Low (Class I),,1Y,II
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])(C([H])([H])C([H])([H])C(=O)N([H])C1=C(C(=C(C([H])=C1I)I)C(=O)O[H])I)C([H])([H])C(=O)N([H])C2=C(C(=C(C([H])=C2I)I)C(=O)O[H])I
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C(=O)N(C([H])([H])C([H])(C([H])([H])N(C(=O)C([H])([H])[H])C1=C(C(=C(C(=C1I)C(=O)N([H])C([H])([H])C([H])(C([H])([H])O[H])O[H])I)C(=O)N([H])C([H])([H])C([H])(C([H])([H])O[H])O[H])I)O[H])C2=C(C(=C(C(=C2I)C(=O)N([H])C([H])([H])C([H])(C([H])([H])O[H])O[H])I)C(=O)N([H])C([H])([H])C([H])(C([H])([H])O[H])O[H])I
,High (Class III),,"1N,2N,3Y,4N",C([H])(I)(I)I
,High (Class III),,"1N,2N,3Y,4N",C1([H])=C([H])C(=C(C([H])=C1[H])[123I])C(=O)N([H])C([H])([H])C(=O)[O-].[Na+]
,High (Class III),,"1N,2N,3Y,4N",C1([H])=C([H])C(=C(C([H])=C1[H])[131I])C(=O)N([H])C([H])([H])C(=O)[O-].[Na+]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C([H])(C([H])([H])[H])N([H])C([H])(C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C(C([H])=C1[H])[123I]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])OC(=O)[C@@]1([H])[C@]([H])(C([H])([H])[C@]2([H])C([H])([H])C([H])([H])[C@@]1([H])N2C([H])([H])C([H])([H])C([H])([H])F)C3=C([H])C([H])=C(C([H])=C3[H])[123I]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C(=O)N(C([H])([H])C([H])(C([H])([H])O[H])O[H])C1=C(C(=C(C(=C1I)C(=O)N([H])C([H])([H])C([H])(C([H])([H])O[H])O[H])I)C(=O)N([H])C([H])([H])C([H])(C([H])([H])O[H])O[H])I
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])N(C(=O)C([H])([H])O[H])C1=C(C(=C(C(=C1I)C(=O)N([H])C([H])([H])C([H])(C([H])([H])O[H])O[H])I)C(=O)N([H])C([H])([H])C([H])(C([H])([H])O[H])O[H])I
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])[C@@]([H])(C(=O)N([H])C1=C(C(=C(C(=C1I)C(=O)N([H])C([H])(C([H])([H])O[H])C([H])([H])O[H])I)C(=O)N([H])C([H])(C([H])([H])O[H])C([H])([H])O[H])I)O[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C([H])([H])C([H])(C([H])([H])C1=C(C([H])=C(C(=C1I)N([H])[H])I)I)C(=O)O[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C1=C(C([H])=C([H])C([H])=C1[H])I
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])N(C([H])([H])[H])C([H])=NC1=C(C(=C(C([H])=C1I)I)C([H])([H])C([H])([H])C(=O)O[H])I
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])N(C([H])([H])C([H])(C([H])([H])O[H])O[H])C(=O)C1=C(C(=C(C(=C1I)N([H])C(=O)C([H])([H])OC([H])([H])[H])I)C(=O)N([H])C([H])([H])C([H])(C([H])([H])O[H])O[H])I
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C(=O)N([H])C1=C(C(=C(C(=C1I)C(=O)N([H])C([H])([H])[H])I)C(=O)O[H])I
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])N(C(=O)C([H])([H])C(=O)N(C([H])([H])[H])C1=C(C(=C(C(=C1I)C(=O)N([H])C([H])(C([H])([H])O[H])C([H])(C([H])([H])O[H])O[H])I)C(=O)N([H])C([H])(C([H])([H])O[H])C([H])(C([H])([H])O[H])O[H])I)C2=C(C(=C(C(=C2I)C(=O)N([H])C([H])(C([H])([H])O[H])C([H])(C([H])([H])O[H])O[H])I)C(=O)N([H])C([H])(C([H])([H])O[H])C([H])(C([H])([H])O[H])O[H])I
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])(C([H])([H])O[H])N(C(=O)C([H])([H])O[H])C1=C(C(=C(C(=C1I)C(=O)N([H])C([H])([H])C([H])(C([H])([H])O[H])O[H])I)C(=O)N([H])C([H])([H])C([H])(C([H])([H])O[H])O[H])I
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C(=O)N(C([H])([H])[H])C1=C(C(=C(C(=C1I)C(=O)N([H])C([H])([H])[H])I)C(=O)N([H])C([H])([H])C(=O)N([H])C2=C(C(=C(C(=C2I)C(=O)N([H])C([H])([H])C([H])([H])O[H])I)C(=O)O[H])I)I
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C(=O)N(C([H])([H])C([H])(C([H])([H])O[H])O[H])C1=C(C(=C(C(=C1I)C(=O)N([H])C([H])([H])C([H])([H])O[H])I)C(=O)N([H])C([H])([H])C([H])(C([H])([H])O[H])O[H])I
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C(=O)N([H])C1=C(C(=C(C(=C1I)C(=O)N([H])C([H])([H])C([H])([H])O[H])I)C(=O)O[H])I
,High (Class III),,"1N,2Y",C([H])([H])([H])C([H])(C([H])([H])[H])[N+]1(C([H])([H])[H])[C@@]2([H])C([H])([H])C([H])([H])[C@]1([H])C([H])([H])[C@@]([H])(C2([H])[H])OC(=O)C([H])(C([H])([H])O[H])C3=C([H])C([H])=C([H])C([H])=C3[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C([H])([H])C([H])([H])C([H])([H])C1=NC2(C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C(=O)N1C([H])([H])C3=C([H])C([H])=C(C([H])=C3[H])C4=C(C([H])=C([H])C([H])=C4[H])C5=NN([H])N=N5
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8Y,9Y",C([H])([H])([H])C([H])([H])C1=C2C([H])([H])N3C(=C([H])C4=C(C([H])([H])OC(=O)[C@@]4(C([H])([H])C([H])([H])[H])O[H])C3=O)C2=NC5=C1C([H])=C(C([H])=C5[H])OC(=O)N6C([H])([H])C([H])([H])C([H])(C([H])([H])C6([H])[H])N7C([H])([H])C([H])([H])C([H])([H])C([H])([H])C7([H])[H]
,High (Class III),,"1N,2N,3Y,4N",[Fe]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([C@]1([H])[C@]([H])([C@@]([H])([C@]([H])([C@]([H])(O1)O[C@@]2(C([H])([H])O[H])[C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O2)O[H])O[H])O[H])O[H])O[H])O[H].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Na+].[Na+].O([H])[H].O([H])[H].O([H])[H].[O-][H].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2]
,High (Class III),,"1N,2Y",C([H])([H])([H])[C@@]([H])(C1=NC(=C([H])S1)C2=C([H])C([H])=C(C([H])=C2[H])C#N)[C@](C([H])([H])N3C([H])=NC([H])=N3)(C4=C([H])C(=C([H])C([H])=C4F)F)O[H]
,High (Class III),,"1N,2Y",C([H])([H])([H])[C@@]([H])(C1=NC(=C([H])S1)C2=C([H])C([H])=C(C([H])=C2[H])C#N)[C@](C([H])([H])N3C([H])=[N+](C([H])=N3)C([H])(C([H])([H])[H])OC(=O)N(C([H])([H])[H])C4=NC([H])=C([H])C([H])=C4C([H])([H])OC(=O)C([H])([H])N([H])C([H])([H])[H])(C5=C([H])C(=C([H])C([H])=C5F)F)O[H]
,High (Class III),,"1N,2Y",C([H])([H])([H])C([H])(C([H])([H])[H])[C@@](C([H])([H])[C@]([H])(C([H])([H])[H])N(C([H])([H])[H])C([H])([H])[H])(C#N)C1=C([H])C([H])=C([H])C([H])=C1[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C1=C([H])C(=NO1)C(=O)N([H])N([H])C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H]
,High (Class III),,"1N,2N,3Y,4N",C1([H])=C([H])C(=C(C([H])([H])OC([H])(C([H])([H])N2C([H])=C([H])N=C2[H])C3=C([H])C([H])=C(C([H])=C3Cl)Cl)C(=C1[H])Cl)Cl
,Intermediate (Class II),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23Y,27Y,28N,30N,18Y",C([H])([H])([H])C([H])([H])C([H])(C([H])(C1=C([H])C([H])=C(C(=C1[H])O[H])O[H])O[H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H]
,Low (Class I),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23Y,27Y,28N,30N,18N",C([H])([H])([H])C([H])=C([H])C1=C([H])C([H])=C(C(=C1[H])OC([H])([H])[H])O[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])(C(F)(F)F)(Cl)OC([H])(F)F
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C([H])(C([H])([H])[H])OP(=O)(F)OC([H])(C([H])([H])[H])C([H])([H])[H]
,High (Class III),,"1N,2Y",C([H])([H])([H])C(=C([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])N([H])C([H])([H])[H])C([H])([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C1([H])=C(C([H])=C([H])N=C1[H])C(=O)N([H])N([H])[H]
,Low (Class I),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23Y,27Y,28N,30N,18N",C([H])([H])([H])C([H])(C([H])([H])[H])N([H])C([H])([H])C([H])(C1=C([H])C([H])=C(C(=C1[H])O[H])O[H])O[H]
,High (Class III),,"1N,2Y",C([H])([H])([H])C([H])(C([H])([H])[H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])C(C1=C([H])C([H])=C([H])C([H])=C1[H])(C2=C([H])C([H])=C([H])C([H])=C2[H])C(=O)N([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H]
,Low (Class I),,"1N,2N,3N,5N,6N,7N,16N,17N,19Y,20Y,21N,18N",C([H])([H])([H])C([H])(C([H])([H])[H])O[H]
,Low (Class I),,"1N,2N,3N,5N,6N,7N,16N,17N,19Y,20Y,21N,18N",C([H])([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])[H])C([H])([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C1([H])([H])[C@]([H])([C@]2([H])[C@@]([H])([C@]([H])(C([H])([H])O2)O[H])O1)O[H]
,High (Class III),,"1N,2Y",C1([H])([H])[C@]([H])([C@]2([H])[C@@]([H])([C@]([H])(C([H])([H])O2)O[N+](=O)[O-])O1)O[N+](=O)[O-]
,High (Class III),,"1N,2Y",C1([H])([H])[C@@]([H])([C@]2([H])[C@@]([H])([C@@]([H])(C([H])([H])O2)O[N+](=O)[O-])O1)O[H]
,Low (Class I),,"1N,2N,3Y,4Y(7N,16N,17N,19N,23Y,27Y,28N,30N,18N)",C([H])([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C1=C([H])C([H])=C(C([H])=C1[H])C(=C2C([H])=C([H])C(=[N+](C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])=C2[H])C3=C([H])C(=C([H])C([H])=C3S(=O)(=O)O[H])S(=O)(=O)O[H]
,Low (Class I),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23N,24Y,18N",C([H])([H])([H])/C(=C(/[H])\C(\[H])=C(/[H])\C(=C(\[H])/C(=O)O[H])\C([H])([H])[H])/C(/[H])=C(\[H])/C1=C(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])S(=O)(=O)C1=C([H])C(=C([H])C([H])=C1C(=O)C2=C(C3([H])C([H])([H])C3([H])[H])ON=C2[H])C(F)(F)F
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C1=C([H])C(=NO1)N([H])C(=O)C2=C(C3=C(C([H])=C([H])C([H])=C3[H])S(=O)(=O)N2C([H])([H])[H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23Y,27Y,28Y,29N,33N",C([H])([H])([H])[C@]([H])(C([H])([H])OC1=C([H])C([H])=C([H])C([H])=C1[H])N([H])[C@]([H])(C([H])([H])[H])[C@]([H])(C2=C([H])C([H])=C(C([H])=C2[H])O[H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C([H])(C([H])([H])[H])OC(=O)C1=C(C([H])([H])[H])N([H])C(=C(C1([H])C2=C([H])C([H])=C([H])C3=NON=C23)C(=O)OC([H])([H])[H])C([H])([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C([H])([H])N1C2=C(C(=O)N(C([H])([H])C([H])([H])[H])C1=O)N(C([H])([H])[H])C(=N2)/C(/[H])=C(\[H])/C3=C([H])C([H])=C(C(=C3[H])OC([H])([H])[H])OC([H])([H])[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C([H])([H])C([H])(C([H])([H])[H])N1C(=O)N(C([H])=N1)C2=C([H])C([H])=C(C([H])=C2[H])N3C([H])([H])C([H])([H])N(C([H])([H])C3([H])[H])C4=C([H])C([H])=C(C([H])=C4[H])OC([H])([H])[C@@]5([H])C([H])([H])O[C@](C([H])([H])N6C([H])=NC([H])=N6)(C7=C([H])C([H])=C(C([H])=C7Cl)Cl)O5
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])N(C([H])([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])C2=C(C([H])=C(C(=C2[H])OC([H])([H])[H])OC([H])([H])[H])C([H])([H])C1=O)C([H])([H])[C@@]3([H])C([H])([H])C4=C3C([H])=C(C(=C4[H])OC([H])([H])[H])OC([H])([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C1=C(C([H])=C(C(=C1[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])O[H])N([H])C(=O)C2=C([H])N([H])C3=C(C([H])=C([H])C([H])=C3[H])C2=O
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C([H])([H])[C@]([H])(C([H])([H])[H])[C@]1([H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[C@]2(C([H])([H])[C@]3([H])C([H])([H])[C@@]([H])(C([H])([H])/C(/[H])=C(\C([H])([H])[H])/[C@]([H])([C@@]([H])(C([H])([H])[H])/C(/[H])=C(\[H])/C(/[H])=C/4\C([H])([H])O[C@]5([H])[C@@]([H])(C(=C([H])[C@@]([H])(C(=O)O3)[C@]45O[H])C([H])([H])[H])O[H])O[C@@]6([H])C([H])([H])[C@@]([H])([C@]([H])([C@]([H])(C([H])([H])[H])O6)O[C@@]7([H])C([H])([H])[C@@]([H])([C@]([H])([C@]([H])(C([H])([H])[H])O7)O[H])OC([H])([H])[H])OC([H])([H])[H])O2)O1.C([H])([H])([H])C([H])(C([H])([H])[H])[C@]1([H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[C@]2(C([H])([H])[C@]3([H])C([H])([H])[C@@]([H])(C([H])([H])/C(/[H])=C(\C([H])([H])[H])/[C@]([H])([C@@]([H])(C([H])([H])[H])/C(/[H])=C(\[H])/C(/[H])=C/4\C([H])([H])O[C@]5([H])[C@@]([H])(C(=C([H])[C@@]([H])(C(=O)O3)[C@]45O[H])C([H])([H])[H])O[H])O[C@@]6([H])C([H])([H])[C@@]([H])([C@]([H])([C@]([H])(C([H])([H])[H])O6)O[C@@]7([H])C([H])([H])[C@@]([H])([C@]([H])([C@]([H])(C([H])([H])[H])O7)O[H])OC([H])([H])[H])OC([H])([H])[H])O2)O1
,High (Class III),,"1N,2Y",C1([H])=C([H])C(=C(C([H])=C1[H])Cl)[C@@]([H])(C(=O)N([H])C2([H])C([H])([H])C(C2([H])[H])(F)F)N(C3=C([H])C(=C([H])N=C3[H])F)C(=O)[C@]4([H])C([H])([H])C([H])([H])C(=O)N4C5=C([H])C(=C([H])C([H])=N5)C#N
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10Y",C([H])([H])([H])[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@]2(C([H])([H])[H])[C@]([H])(C([H])([H])[C@@]([H])(/C(=C(\[H])/C3=C([H])SC(=N3)C([H])([H])[H])/C([H])([H])[H])N([H])C(=O)C([H])([H])[C@@]([H])(C(C([H])([H])[H])(C([H])([H])[H])C(=O)[C@]([H])(C([H])([H])[H])[C@@]1([H])O[H])O[H])O2
