CRAMERFLAGS,Cramer rules,cdk:Title,toxTree.tree.cramer.CramerTreeResult,SMILES
,Low (Class I),,"1N,2N,3N,5N,6N,7N,16N,17N,19Y,20Y,21N,18N",C([H])([H])([H])C([H])([H])/C(/[H])=C(/[H])\C([H])([H])/C(/[H])=C(/[H])\C([H])([H])/C(/[H])=C(/[H])\C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11N,12N,22N,33N",C([H])([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[C@]1(C([H])([H])[H])C([H])([H])C([H])([H])C2=C(C([H])([H])[H])C(=C(C([H])([H])[H])C(=C2O1)C([H])([H])[H])OC(=O)C([H])([H])C([H])([H])C(=O)O[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C1=NN=C2C([H])([H])N=C(C3=C([H])C([H])=C([H])C([H])=C3[H])C4=C(C([H])=C([H])C(=C4[H])Cl)N12
,Intermediate (Class II),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23N,24N,25N,26Y",C([H])([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(/C(/[H])=C(\[H])/[C@]1([H])[C@@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[H])C(=O)C([H])([H])[C@@]1([H])O[H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])N(C([H])([H])[H])C1=NC(=NC(=N1)N(C([H])([H])[H])C([H])([H])[H])N(C([H])([H])[H])C([H])([H])[H]
,High (Class III),,"1N,2N,3Y,4N",[Al]
,High (Class III),,"1N,2N,3Y,4N",[Al+3].O=P([O-])([O-])[O-]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C(=O)[O-].C([H])([H])([H])C(=O)[O-].C([H])([H])([H])C(=O)[O-].[Al+3]
,High (Class III),,"1N,2N,3Y,4N",[Al](Cl)(Cl)Cl
,High (Class III),,"1N,2N,3Y,4N",[Al+3].[Al+3].[Cl-].O([H])[H].[O-][H].[O-][H].[O-][H].[O-][H].[O-][H]
,High (Class III),,"1N,2N,3Y,4N",[Al+3].[O-][H].[O-][H].[O-][H]
